Fecha,Producto,Cantidad,Precio,Ciudad,Cliente,Total
2025-08-06,Tablet,5,1675.96,Guadalajara,Esteban Tomás Cantú Pantoja,8379.8
2025-05-23,Impresora,3,623.16,Toluca,Lourdes Nevárez Roque,1869.48
2024-12-22,Smartphone,3,1608.03,Monterrey,Zacarías Abraham Sevilla Covarrubias,4824.09
2025-02-08,Smartphone,5,658.58,Querétaro,Ana María Villalpando,3292.9
2024-12-23,Teclado,9,1003.86,Ciudad de México,Juan Abigail Zaragoza,9034.74
2025-01-11,Laptop,5,205.58,Puebla,Mónica Cristian Robledo,1027.9
2025-05-25,Mouse,4,147.82,Puebla,Jerónimo Reséndez,591.28
2024-10-20,Teclado,6,1160.55,Cancún,Beatriz Cabrera Arias,6963.299999999999
2025-02-10,Impresora,8,1533.01,Guadalajara,Mauricio Graciela Centeno Rael,12264.08
2025-03-02,Cámara,7,1472.59,Ciudad de México,Mariana Clara Véliz Armenta,10308.13
2025-04-16,Teclado,9,231.08,Cancún,Germán Pulido,2079.7200000000003
2024-09-05,Smartphone,8,1475.52,Puebla,Iván Navarrete,11804.16
2025-03-22,Monitor,4,1099.9,Monterrey,Úrsula Nicolás Candelaria,4399.6
2024-12-25,Smartphone,10,436.67,Querétaro,Iván Lucía Armendáriz de la Rosa,4366.7
2024-09-14,Monitor,8,1714.33,Cancún,Pamela Méndez,13714.64
2024-09-28,Cámara,3,1186.94,Cancún,Sr(a). Raquel Pacheco,3560.82
2024-10-19,Monitor,9,691.98,Toluca,Patricio Eva Alcaraz,6227.82
2025-05-18,Cámara,2,336.75,Toluca,Mtro. Javier Pérez,673.5
2025-01-18,Mouse,5,1989.68,Cancún,Mtro. Tania Becerra,9948.4
2025-06-07,Audífonos,1,796.74,Monterrey,Alfredo Salas Ochoa,796.74
2024-11-29,Cámara,8,773.63,Cancún,Lic. Jesús Cardenas,6189.04
2025-04-08,Cámara,8,1434.05,Ciudad de México,Jaime Saucedo,11472.4
2025-07-10,Laptop,4,1903.87,Ciudad de México,Dulce Medrano Meraz,7615.48
2025-06-11,Impresora,9,815.12,Monterrey,Mariano Ramón,7336.08
2025-03-25,Smartphone,9,309.23,Ciudad de México,Zacarías Iglesias,2783.07
2025-03-09,Laptop,9,638.21,Puebla,Dr. Miriam Arroyo,5743.89
2025-02-11,Teclado,8,199.64,Puebla,María del Carmen Federico Zapata Barrios,1597.12
2025-06-25,Mouse,10,1245.02,Toluca,Josefina Eugenio Jaramillo,12450.2
2025-02-01,Impresora,1,1905.85,Monterrey,Nicolás Brito Polanco,1905.85
2025-05-15,Audífonos,5,1055.72,Toluca,Irene Lozada,5278.6
2024-09-10,Tablet,4,1073.49,Puebla,Carlota Anel Mojica Benítez,4293.96
2024-09-29,Mouse,6,1013.27,Puebla,Sr(a). Eric Villarreal,6079.62
2025-06-08,Teclado,5,122.13,Puebla,Asunción Natalia Linares,610.65
2025-01-30,Mouse,8,447.84,Puebla,Roberto Renato Jaimes Vallejo,3582.72
2025-05-05,Tablet,10,1955.82,Querétaro,Jonás Nájera,19558.2
2024-09-01,Teclado,2,1903.74,Monterrey,Andrés Alta  Gracia Garibay Soria,3807.48
2025-04-25,Teclado,3,1919.18,Querétaro,Darío Ceja,5757.54
2025-03-23,Monitor,6,1823.16,Toluca,Magdalena Rivas Gracia,10938.960000000001
2024-11-20,Audífonos,3,331.17,Toluca,Nadia Yeni Serna Pedroza,993.51
2025-07-02,Audífonos,10,156.72,Guadalajara,Sr(a). Abel Varela,1567.2
2025-01-28,Mouse,1,362.98,Ciudad de México,Ing. Adalberto Irizarry,362.98
2024-12-25,Impresora,5,1264.44,Ciudad de México,Antonio Aurelio Pedraza,6322.200000000001
2024-12-16,Impresora,10,796.12,Guadalajara,Sergio Cristian Barela,7961.2
2025-04-03,Laptop,4,918.53,Cancún,Fidel Linda Chavarría Tovar,3674.12
2025-07-04,Cámara,8,1639.29,Guadalajara,Carmen Trejo Villanueva,13114.32
2024-08-15,Tablet,4,1322.21,Cancún,Mtro. Andrea Zapata,5288.84
2025-05-02,Cámara,10,1828.36,Toluca,Cornelio Claudia Santacruz,18283.6
2025-07-31,Audífonos,10,730.43,Ciudad de México,Jonás Ernesto Griego,7304.299999999999
2024-11-05,Impresora,9,630.06,Querétaro,Lourdes Toro Pedraza,5670.539999999999
2025-07-21,Mouse,2,352.78,Ciudad de México,Pamela Zayas Carbajal,705.56
2025-06-12,Impresora,6,1700.36,Toluca,Georgina Samaniego,10202.16
2025-06-15,Mouse,4,1030.23,Querétaro,Lic. Delia Magaña,4120.92
2024-09-21,Impresora,5,1359.8,Cancún,Manuel Ariadna Muñoz Jaimes,6799.0
2025-01-11,Tablet,6,1033.83,Querétaro,Dr. Humberto Holguín,6202.98
2025-05-08,Monitor,9,308.16,Monterrey,Lic. Óscar Cisneros,2773.44
2024-10-06,Audífonos,3,200.91,Guadalajara,Reynaldo Rivas Aguayo,602.73
2025-06-06,Impresora,3,165.77,Guadalajara,Andrés Clara Alcaraz Olmos,497.31000000000006
2024-10-31,Teclado,10,1358.28,Ciudad de México,Indira Zayas Campos,13582.8
2025-06-26,Mouse,8,796.68,Ciudad de México,Eugenia Santillán Escobedo,6373.44
2024-08-15,Monitor,1,767.92,Toluca,Ignacio Marroquín Fonseca,767.92
2025-04-14,Laptop,5,1237.48,Cancún,Dr. Georgina Corona,6187.4
2025-04-27,Laptop,3,884.15,Puebla,Antonia Héctor Alfaro Carbajal,2652.45
2024-12-15,Tablet,7,1074.79,Guadalajara,Elsa Ariadna Vera,7523.53
2024-09-02,Impresora,5,541.11,Toluca,Dr. Camila Sandoval,2705.55
2025-07-11,Laptop,4,120.54,Cancún,Lic. Concepción Padrón,482.16
2024-10-28,Impresora,9,1278.07,Monterrey,Irma Elias Rocha,11502.63
2025-03-24,Impresora,6,652.65,Querétaro,Humberto Rosalia Beltrán Tirado,3915.8999999999996
2025-01-16,Impresora,10,666.49,Guadalajara,Rodolfo Flores,6664.9
2025-07-28,Monitor,10,279.76,Cancún,Nancy Felipe Casillas Granado,2797.6
2025-05-05,Mouse,5,197.07,Guadalajara,Natalia Reyes Valladares,985.3499999999999
2024-08-23,Audífonos,7,1549.6,Monterrey,Karla Esquivel,10847.199999999999
2024-08-12,Cámara,2,194.64,Ciudad de México,Ana Luisa de la Fuente,389.28
2025-06-14,Audífonos,10,425.83,Puebla,Lic. Concepción Niño,4258.3
2025-06-07,Laptop,5,1441.28,Toluca,Patricia Eva Vergara,7206.4
2025-06-05,Monitor,9,1345.59,Cancún,Dr. Cristobal Nava,12110.31
2025-01-09,Smartphone,8,1073.9,Toluca,Julia Rubén Mojica Ruelas,8591.2
2025-05-30,Teclado,3,1705.78,Ciudad de México,Mariano Rosado Verduzco,5117.34
2024-10-13,Mouse,2,1089.93,Cancún,Mtro. Olga Aponte,2179.86
2025-07-04,Laptop,5,1926.53,Toluca,Ernesto Isabel de León,9632.65
2025-01-17,Audífonos,6,697.67,Monterrey,Serafín Villaseñor Alcántar,4186.0199999999995
2024-08-12,Teclado,2,1858.51,Monterrey,Lucía María Luisa Chacón Aparicio,3717.02
2025-02-03,Impresora,1,1124.26,Ciudad de México,Conchita Barajas,1124.26
2025-03-05,Monitor,5,590.21,Guadalajara,Concepción Frías Gonzales,2951.05
2024-08-09,Tablet,3,1200.65,Guadalajara,Dr. María Luisa Valdés,3601.9500000000003
2025-06-03,Tablet,5,564.19,Cancún,Alicia Clemente Holguín Arriaga,2820.9500000000003
2025-02-14,Impresora,1,1402.3,Cancún,Sandra Andrea Galindo,1402.3
2024-10-20,Tablet,5,276.56,Querétaro,Dr. Felix Cortés,1382.8
2024-09-15,Teclado,6,1037.93,Toluca,Estela Delgadillo Espinoza,6227.58
2024-08-21,Smartphone,4,1944.77,Guadalajara,Felix Cristal Iglesias,7779.08
2025-02-02,Mouse,8,933.23,Monterrey,Leticia María Eugenia Alcaraz,7465.84
2024-11-10,Teclado,9,386.37,Ciudad de México,Agustín Ponce,3477.33
2024-08-11,Cámara,5,1468.47,Querétaro,Victoria Guillermina Rojas Mascareñas,7342.35
2025-02-24,Smartphone,7,896.13,Puebla,Leonel Guerrero Feliciano,6272.91
2025-08-03,Cámara,5,338.9,Querétaro,Raquel Frida Reyna,1694.5
2025-06-15,Laptop,9,665.46,Cancún,Fidel Nancy Soto Porras,5989.14
2024-12-20,Tablet,3,318.31,Querétaro,Ofelia Claudia Díaz,954.9300000000001
2025-05-28,Monitor,9,1193.1,Guadalajara,Luisa Susana Arellano,10737.9
2025-07-14,Teclado,1,1367.31,Cancún,Genaro Gilberto Naranjo Vergara,1367.31
2025-03-18,Smartphone,10,213.85,Monterrey,Fidel Camacho,2138.5
2025-04-25,Teclado,3,1852.8,Guadalajara,Anabel Tamayo Santana,5558.4
2024-10-09,Tablet,10,1428.95,Puebla,Martín Mitzy Malave Saiz,14289.5
2024-11-25,Impresora,2,1654.3,Querétaro,Patricia María del Carmen Baca,3308.6
2024-11-04,Monitor,8,1361.67,Querétaro,Dr. Helena Carreón,10893.36
2024-08-20,Smartphone,5,983.44,Guadalajara,Sr(a). Estela Ruelas,4917.200000000001
2025-04-06,Cámara,9,116.59,Toluca,Noelia Eloisa Hidalgo,1049.31
2025-02-28,Cámara,5,1760.2,Ciudad de México,Esperanza Jesús Cazares Cardona,8801.0
2025-01-18,Monitor,10,1829.39,Toluca,Benjamín Óliver Villanueva,18293.9
2025-03-30,Monitor,3,131.58,Monterrey,Alma María del Carmen Tejeda,394.74
2024-10-27,Cámara,1,319.83,Guadalajara,Aurora Vanesa Coronado Loera,319.83
2025-03-04,Mouse,10,998.44,Puebla,Judith Rolando Téllez,9984.400000000001
2024-09-03,Audífonos,6,254.05,Querétaro,Benjamín Contreras,1524.3000000000002
2024-11-08,Audífonos,4,867.13,Toluca,María Cristina Iglesias Bernal,3468.52
2025-03-16,Teclado,9,762.87,Puebla,Alfredo Gurule Páez,6865.83
2025-03-03,Impresora,9,1203.11,Querétaro,Mtro. Norma Meraz,10827.99
2024-11-05,Smartphone,10,1323.31,Cancún,Óliver Franco Ordóñez,13233.099999999999
2025-05-11,Cámara,4,1411.27,Cancún,Alonso Juana Altamirano Hernádez,5645.08
2024-09-03,Teclado,1,688.83,Puebla,Ing. Noemí Delgadillo,688.83
2025-04-14,Tablet,10,1737.85,Ciudad de México,Rolando Roldán,17378.5
2024-11-09,Cámara,7,146.41,Toluca,Elena Juan Carlos Peres Treviño,1024.87
2025-03-02,Laptop,6,490.32,Querétaro,Caridad Sessa Arenas Niño,2941.92
2025-01-01,Cámara,5,1620.42,Puebla,Zoé Débora Durán,8102.1
2025-08-01,Laptop,5,1628.31,Toluca,Sr(a). Concepción Acosta,8141.549999999999
2024-09-21,Smartphone,2,901.3,Cancún,Rodrigo Marín,1802.6
2025-01-01,Smartphone,1,931.85,Puebla,Modesto Celia Archuleta Vélez,931.85
2025-02-03,Audífonos,1,1304.39,Puebla,Flavio Barbara Rodarte,1304.39
2024-12-24,Impresora,6,832.87,Ciudad de México,Maximiliano Abrego,4997.22
2025-04-29,Monitor,8,708.4,Cancún,Ing. Nancy Preciado,5667.2
2024-11-28,Audífonos,6,142.98,Monterrey,Abelardo Gregorio Díaz Regalado,857.8799999999999
2025-06-30,Cámara,4,706.51,Querétaro,Alma Valenzuela,2826.04
2024-10-02,Monitor,6,732.1,Guadalajara,Lic. Uriel Orozco,4392.6
2024-12-03,Impresora,2,1298.94,Ciudad de México,Florencia Raúl Tello Camacho,2597.88
2025-04-30,Mouse,6,1250.05,Guadalajara,Reina Wendolin Reyes,7500.299999999999
2024-08-20,Audífonos,7,1673.06,Guadalajara,Horacio Palomo Esparza,11711.42
2024-10-11,Laptop,6,108.62,Puebla,Mitzy Tirado Lucero,651.72
2024-08-24,Smartphone,6,1880.59,Monterrey,Gerardo Alvarez,11283.539999999999
2025-05-02,Impresora,6,1026.47,Toluca,Enrique Lucas Bustos Bahena,6158.82
2025-01-12,Teclado,3,807.84,Guadalajara,Elvia Alejandra Gracia,2423.52
2025-03-16,Impresora,9,675.62,Cancún,Lourdes Amalia Merino,6080.58
2025-04-20,Laptop,10,850.34,Toluca,Marisol Estévez Alba,8503.4
2025-02-11,Cámara,10,1355.3,Guadalajara,Ivonne Socorro Velasco,13553.0
2025-07-22,Laptop,5,1310.79,Guadalajara,Gerardo Francisca Barraza,6553.95
2024-09-27,Mouse,4,1409.02,Querétaro,Bernardo Miriam Montero Garza,5636.08
2025-02-22,Impresora,4,658.34,Guadalajara,Dolores Renato Quintero Viera,2633.36
2024-11-27,Impresora,7,973.6,Cancún,Manuel Cotto González,6815.2
2025-05-24,Mouse,6,1799.63,Puebla,Mauricio Gustavo de la Rosa Hernandes,10797.78
2024-08-10,Cámara,6,663.96,Ciudad de México,Emilia Carlota Ortega,3983.76
2025-02-22,Smartphone,9,542.48,Monterrey,Celia José Carlos Quiñónez Gómez,4882.32
2025-03-24,Teclado,8,1120.54,Ciudad de México,Silvano Mejía Terán,8964.32
2024-11-27,Monitor,3,341.93,Puebla,Dr. María Luisa Navarro,1025.79
2024-10-08,Laptop,7,638.98,Querétaro,Concepción Peralta,4472.860000000001
2025-07-13,Audífonos,10,202.86,Puebla,Guadalupe Abelardo Colón Lira,2028.6000000000001
2025-04-12,Cámara,6,1593.57,Toluca,Miguel Ángel Quesada,9561.42
2024-09-01,Cámara,5,1086.65,Guadalajara,Débora Valles,5433.25
2024-10-10,Impresora,8,442.34,Guadalajara,Andrea Frías,3538.72
2025-04-01,Audífonos,5,941.8,Guadalajara,Sr(a). Ricardo Quezada,4709.0
2025-03-29,Teclado,9,1129.63,Monterrey,Eloisa Olivo Calderón,10166.670000000002
2024-11-14,Audífonos,7,314.22,Puebla,Marisol Saldivar,2199.54
2025-01-28,Audífonos,2,233.06,Monterrey,Rocío Anaya,466.12
2025-05-25,Teclado,6,1214.29,Ciudad de México,Asunción Celia Razo Gracia,7285.74
2025-06-15,Mouse,2,216.58,Puebla,Isaac Antonia Guillen Montaño,433.16
2025-03-29,Teclado,8,471.42,Querétaro,Mauro Espinosa,3771.36
2025-04-29,Audífonos,1,1765.69,Guadalajara,Lic. Julia Terrazas,1765.69
2025-06-21,Tablet,5,1591.59,Cancún,Estela Baca Jáquez,7957.95
2024-12-09,Laptop,3,235.32,Querétaro,Clara Zambrano,705.96
2024-09-04,Monitor,5,274.27,Guadalajara,Diego Véliz,1371.35
2025-05-23,Monitor,1,1825.59,Puebla,Amalia Mercado Casárez,1825.59
2024-10-18,Laptop,3,767.63,Puebla,Úrsula Natividad Cedillo Aragón,2302.89
2024-11-27,Teclado,6,1562.78,Monterrey,Nadia Héctor Garrido,9376.68
2024-11-25,Monitor,3,543.47,Ciudad de México,Irene Teodoro Miramontes,1630.41
2024-09-14,Audífonos,6,1846.96,Cancún,Miguel Ángel Zúñiga Jurado,11081.76
2025-07-03,Cámara,2,1693.38,Guadalajara,Natalia Mondragón,3386.76
2024-08-10,Audífonos,9,1975.1,Cancún,Lic. Adela Peres,17775.899999999998
2025-02-14,Monitor,3,170.84,Monterrey,Yolanda Gaona Peña,512.52
2024-08-16,Laptop,9,714.5,Puebla,Karla Sotelo,6430.5
2025-02-16,Audífonos,7,807.03,Puebla,Esmeralda Vigil,5649.21
2025-05-25,Monitor,3,1396.55,Toluca,Adán Herrera Guzmán,4189.65
2025-04-22,Mouse,1,1598.47,Puebla,Germán Leal,1598.47
2024-11-19,Smartphone,9,1264.27,Monterrey,Salma Griego,11378.43
2025-01-31,Impresora,7,982.79,Puebla,Tania Gabriel Ayala,6879.53
2025-03-24,Smartphone,7,1141.6,Puebla,Mtro. Armando Tamayo,7991.199999999999
2025-02-24,Monitor,9,1753.66,Puebla,Fidel Bahena,15782.94
2025-05-31,Tablet,1,170.75,Cancún,Alejandra Garay Prieto,170.75
2025-03-24,Cámara,1,939.29,Guadalajara,Helena Carrasco Jaime,939.29
2025-05-26,Cámara,8,991.14,Puebla,Sonia Teresa Olvera Molina,7929.12
2025-07-03,Mouse,8,1646.47,Puebla,Paulina Toro,13171.76
2025-02-18,Mouse,3,1974.06,Querétaro,Aida Villarreal,5922.18
2024-11-03,Audífonos,5,259.35,Monterrey,Estefanía Mauricio Pelayo Archuleta,1296.75
2025-06-12,Teclado,9,1194.11,Guadalajara,Dr. Carolina Montañez,10746.99
2024-09-13,Cámara,10,1879.58,Puebla,Rubén Serrato Maya,18795.8
2024-09-01,Laptop,5,1638.43,Puebla,Dr. Jorge Luis Venegas,8192.15
2025-04-18,Cámara,3,871.32,Monterrey,Irene Alcántar,2613.96
2024-11-05,Impresora,3,506.66,Ciudad de México,Minerva Martín Benavídez,1519.98
2024-12-10,Mouse,5,1323.86,Monterrey,Tania Estefanía Cordero,6619.299999999999
2025-03-31,Tablet,5,470.51,Guadalajara,Dr. Cristian de Anda,2352.55
2024-12-25,Mouse,7,1032.39,Puebla,Frida María Elena Barreto Cedillo,7226.7300000000005
2024-08-18,Tablet,8,1933.92,Toluca,Oswaldo Montemayor Mota,15471.36
2025-01-11,Impresora,1,169.97,Cancún,Óliver Concepción Alemán,169.97
2025-01-12,Impresora,9,1327.12,Puebla,Luis María Luisa Grijalva Sáenz,11944.079999999998
2024-08-26,Mouse,6,1744.96,Querétaro,Amanda Reina Aguayo Olivas,10469.76
2025-03-22,Monitor,2,168.77,Querétaro,Ing. Juana Núñez,337.54
2025-07-16,Smartphone,7,1240.89,Ciudad de México,Benjamín Claudio Chacón Solís,8686.230000000001
2025-05-07,Teclado,2,462.45,Monterrey,Leonel Diana Villagómez Romero,924.9
2024-11-10,Monitor,5,356.87,Cancún,Dr. Fidel Sanabria,1784.35
2025-03-12,Teclado,6,1582.03,Querétaro,Omar Leticia Madrigal Solorio,9492.18
2025-05-25,Impresora,2,800.85,Guadalajara,Guillermina Cabán,1601.7
2024-10-03,Mouse,9,702.96,Toluca,Esperanza Ávila,6326.64
2024-08-23,Audífonos,7,519.31,Monterrey,Carla Pabón Pulido,3635.1699999999996
2024-08-12,Smartphone,5,1600.01,Monterrey,Indira Isabela Crespo,8000.05
2024-11-20,Laptop,8,609.68,Puebla,Marcela Angélica Valentín,4877.44
2024-11-23,Smartphone,3,1756.34,Ciudad de México,Emiliano Ferrer Méndez,5269.0199999999995
2025-06-27,Cámara,4,1547.59,Monterrey,Gustavo Valadez Feliciano,6190.36
2024-11-26,Audífonos,7,1778.04,Puebla,Cristina León,12446.279999999999
2025-05-17,Laptop,3,670.5,Monterrey,Sr(a). Esther Rico,2011.5
2024-11-12,Smartphone,10,1394.62,Cancún,Marco Antonio Nieves Trejo,13946.199999999999
2024-09-16,Cámara,6,318.3,Puebla,Nayeli Pelayo,1909.8000000000002
2025-06-06,Laptop,8,458.28,Monterrey,Barbara Matías Abreu,3666.24
2024-10-17,Smartphone,5,405.77,Ciudad de México,Mauro César Contreras Trejo,2028.85
2024-09-21,Monitor,6,1032.62,Puebla,Zoé Santiago Mojica,6195.719999999999
2024-10-28,Laptop,9,1916.63,Puebla,Paola Esperanza Méndez Lozada,17249.670000000002
2024-09-25,Monitor,5,1398.34,Ciudad de México,Celia Anel Garrido,6991.7
2025-05-10,Tablet,8,1738.15,Puebla,Santiago Reina Guerrero,13905.2
2025-06-08,Smartphone,5,1719.58,Cancún,Lucas Merino,8597.9
2024-11-12,Laptop,4,1226.39,Toluca,Esmeralda Vélez,4905.56
2025-03-15,Audífonos,1,1169.62,Monterrey,Abril Estévez Villa,1169.62
2025-02-09,Smartphone,10,1692.23,Guadalajara,Miguel Ángel Perales Paz,16922.3
2025-06-11,Impresora,9,287.44,Puebla,Berta Posada Arroyo,2586.96
2024-12-30,Teclado,5,261.04,Puebla,Ing. Oswaldo Valle,1305.2
2025-07-07,Smartphone,8,296.47,Guadalajara,Abraham Juana Rivas Tafoya,2371.76
2024-12-01,Audífonos,8,1855.09,Puebla,Sr(a). Fabiola Munguía,14840.72
2024-09-28,Tablet,9,1001.1,Puebla,Cristobal Luisa Nájera,9009.9
2025-04-19,Monitor,7,521.25,Toluca,Eloy Lira,3648.75
2025-01-02,Monitor,9,135.3,Toluca,Guillermina José Manuél Jasso Sevilla,1217.7
2025-01-16,Audífonos,9,881.18,Guadalajara,Ing. Bianca Ocasio,7930.62
2025-06-21,Mouse,4,1498.39,Ciudad de México,Dr. Florencia Sanabria,5993.56
2024-10-17,Tablet,1,520.71,Querétaro,Héctor Peralta,520.71
2025-07-07,Teclado,5,1918.89,Guadalajara,Ing. Gabriela Piña,9594.45
2024-11-20,Tablet,5,383.29,Puebla,Lic. Ilse Sisneros,1916.45
2025-05-12,Mouse,7,391.25,Ciudad de México,Federico Manzanares,2738.75
2024-11-16,Teclado,4,1015.61,Guadalajara,Alta  Gracia Reséndez,4062.44
2025-01-12,Mouse,5,530.39,Cancún,Victoria Vera Bahena,2651.95
2025-07-22,Impresora,8,1157.15,Querétaro,Lic. Maximiliano Cordero,9257.2
2025-07-03,Laptop,10,1809.53,Cancún,Nelly Borrego,18095.3
2024-12-25,Cámara,10,1785.79,Ciudad de México,Dr. Guillermo Rodríguez,17857.9
2025-02-08,Mouse,5,699.61,Cancún,Pamela Cortés Huerta,3498.05
2025-07-17,Cámara,6,859.19,Ciudad de México,Flavio Romo Santacruz,5155.14
2025-05-08,Cámara,7,1085.78,Puebla,Alejandra Zapata Aguilar,7600.46
2024-08-31,Laptop,6,130.45,Querétaro,Mtro. Gabriel Ledesma,782.6999999999999
2024-08-27,Laptop,9,1213.74,Querétaro,María Cristina Esparza,10923.66
2024-11-03,Mouse,8,193.74,Guadalajara,Dr. Augusto Páez,1549.92
2024-12-01,Tablet,1,1766.75,Querétaro,Estela Paredes Zapata,1766.75
2024-12-01,Monitor,2,472.65,Querétaro,Alonso Llamas,945.3
2024-09-18,Tablet,10,1947.16,Querétaro,Rosario Javier Villaseñor Arce,19471.600000000002
2025-08-01,Tablet,1,797.25,Toluca,Jorge Luis María Luisa Perales Farías,797.25
2024-10-16,Laptop,9,1646.3,Querétaro,Micaela Mendoza Gil,14816.699999999999
2024-10-30,Monitor,10,842.97,Querétaro,Daniel Bustamante,8429.7
2025-04-08,Teclado,8,606.26,Cancún,Anel Zamora Pabón,4850.08
2024-12-05,Teclado,4,1568.71,Cancún,Lic. Wilfrido Ramón,6274.84
2024-11-22,Teclado,10,1671.0,Cancún,Alvaro Víctor Perea,16710.0
2024-12-10,Tablet,8,1501.47,Guadalajara,Yeni Rico Estrada,12011.76
2024-11-16,Cámara,9,140.03,Monterrey,Soledad Carvajal Zayas,1260.27
2024-12-16,Smartphone,4,556.76,Ciudad de México,Guadalupe Valles,2227.04
2025-06-14,Audífonos,9,965.96,Ciudad de México,Lilia Cantú,8693.64
2024-08-22,Teclado,6,1736.32,Toluca,Lic. Rosario Mojica,10417.92
2024-10-01,Audífonos,7,1983.14,Cancún,Esperanza Perla de la Torre,13881.980000000001
2025-06-16,Teclado,8,994.08,Puebla,Antonia Isabela Torres,7952.64
2024-12-12,Laptop,6,1873.4,Querétaro,Elena Covarrubias Rivero,11240.400000000001
2025-05-08,Impresora,2,1077.4,Querétaro,Marcos Castro Ulibarri,2154.8
2025-05-15,Laptop,2,648.05,Querétaro,Jacobo Gustavo Márquez Escobar,1296.1
2025-02-01,Impresora,9,126.15,Monterrey,Citlali Segura,1135.3500000000001
2025-03-20,Cámara,5,1341.56,Cancún,Dr. Silvano Serrano,6707.799999999999
2025-06-07,Impresora,10,1781.96,Ciudad de México,Dalia Vanesa Moya,17819.6
2025-07-09,Smartphone,9,1860.45,Monterrey,Conchita Linda Elizondo,16744.05
2025-04-02,Teclado,8,864.28,Ciudad de México,Dr. Catalina Almanza,6914.24
2024-10-30,Monitor,6,957.37,Monterrey,Luisa Barragán Armenta,5744.22
2024-12-24,Smartphone,10,1394.28,Ciudad de México,Caridad Paz Regalado,13942.8
2024-09-10,Audífonos,8,1295.02,Ciudad de México,Mtro. Horacio Espino,10360.16
2025-02-23,Monitor,9,1980.42,Cancún,Jaqueline Santiago Chapa,17823.78
2024-12-05,Audífonos,9,1446.68,Toluca,Dr. Yuridia Escamilla,13020.12
2025-06-24,Teclado,2,1991.67,Toluca,Lorena Salgado Hernández,3983.34
2025-07-16,Tablet,7,1166.68,Toluca,Ana Flavio Valentín,8166.76
2024-09-01,Tablet,10,1312.47,Puebla,Pilar Raúl Salazar Torres,13124.7
2025-05-16,Audífonos,8,552.72,Querétaro,Mtro. Zoé Berríos,4421.76
2025-05-04,Tablet,2,1281.57,Puebla,Mercedes Sergio García,2563.14
2025-02-04,Laptop,5,1845.79,Toluca,Augusto Vanesa Bermúdez,9228.95
2025-03-09,Smartphone,8,708.26,Monterrey,Guillermina Darío Rocha,5666.08
2025-03-27,Tablet,1,835.88,Puebla,Enrique Esperanza Fajardo Gamez,835.88
2025-06-07,Teclado,6,1147.81,Puebla,Gabino Mayte Ornelas Arce,6886.86
2024-08-14,Cámara,6,1145.86,Monterrey,Alma Carrillo Quintero,6875.16
2025-04-07,Teclado,1,490.87,Cancún,Nelly Puente Lemus,490.87
2025-01-09,Cámara,4,1751.5,Puebla,Julia Castellanos Navarro,7006.0
2024-11-18,Teclado,6,1784.56,Guadalajara,Alvaro Esteban Santillán,10707.36
